IDENTIFY "N1K2-J_SHIDEN-KAI"
SUBSTNAM shiden21
CATEGORY WW2FIGHTER
AFTBURNR FALSE                #HAVE AFTERBURNER?
TURRETNM 0 0100						#DNM Node Name
TURRETAR 0						#Anti Air Capable
TURRETCT 0 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 0 0m						#Shooting Range  Machine gun convergence : 0 m

######## GUN1_RIGHT ########
TURRETPO 1 2.10m  -0.30m  1.17m 0.42723deg 0.2618deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 1 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 1 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 1 200						#Ammo
TURRETIV 1 0.09677						#Number ShootingInterval
TURRETNM 1 0100						#DNM Node Name
TURRETAR 1						#Anti Air Capable
TURRETCT 1 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 1 800m						#Shooting Range  Machine gun convergence : 300 m

######## GUN1_RIGHT ########
TURRETPO 2 2.10m  -0.30m  1.17m 0.42723deg 0.2618deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 2 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 2 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 2 200						#Ammo
TURRETIV 2 0.09677						#Number ShootingInterval
TURRETNM 2 0100						#DNM Node Name
TURRETAR 2						#Anti Air Capable
TURRETCT 2 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 2 800m						#Shooting Range  Machine gun convergence : 300 m

######## GUN1_LEFT ########
TURRETPO 3 -2.10m  -0.30m  1.17m -0.42723deg 0.2618deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 3 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 3 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 3 200						#Ammo
TURRETIV 3 0.09677						#Number ShootingInterval
TURRETNM 3 0100						#DNM Node Name
TURRETAR 3						#Anti Air Capable
TURRETCT 3 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 3 800m						#Shooting Range  Machine gun convergence : 300 m

######## GUN1_LEFT ########
TURRETPO 4 -2.10m  -0.30m  1.17m -0.42723deg 0.2618deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 4 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 4 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 4 200						#Ammo
TURRETIV 4 0.09677						#Number ShootingInterval
TURRETNM 4 0100						#DNM Node Name
TURRETAR 4						#Anti Air Capable
TURRETCT 4 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 4 800m						#Shooting Range  Machine gun convergence : 300 m

######## GUN2_RIGHT ########
TURRETPO 5 2.40m  -0.25m  1.18m 0.51192deg 0.25218deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 5 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 5 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 5 250						#Ammo
TURRETIV 5 0.09677						#Number ShootingInterval
TURRETNM 5 0100						#DNM Node Name
TURRETAR 5						#Anti Air Capable
TURRETCT 5 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 5 800m						#Shooting Range  Machine gun convergence : 300 m

######## GUN2_RIGHT ########
TURRETPO 6 2.40m  -0.25m  1.18m 0.51192deg 0.25218deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 6 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 6 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 6 250						#Ammo
TURRETIV 6 0.09677						#Number ShootingInterval
TURRETNM 6 0100						#DNM Node Name
TURRETAR 6						#Anti Air Capable
TURRETCT 6 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 6 800m						#Shooting Range  Machine gun convergence : 300 m

######## GUN2_LEFT ########
TURRETPO 7 -2.40m  -0.25m  1.18m -0.51192deg 0.25218deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 7 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 7 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 7 250						#Ammo
TURRETIV 7 0.09677						#Number ShootingInterval
TURRETNM 7 0100						#DNM Node Name
TURRETAR 7						#Anti Air Capable
TURRETCT 7 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 7 800m						#Shooting Range  Machine gun convergence : 300 m

######## GUN2_LEFT ########
TURRETPO 8 -2.40m  -0.25m  1.18m -0.51192deg 0.25218deg 0deg	#Number X Y Z Hdg Pdg Bdg  
TURRETPT 8 -0deg 0deg 0deg				#Number MinPitch MaxPitch NeutralPitch 
TURRETHD 8 0deg 0deg 0deg				#Number MinHdg MaxHdg NeutralHdg
TURRETAM 8 250						#Ammo
TURRETIV 8 0.09677						#Number ShootingInterval
TURRETNM 8 0100						#DNM Node Name
TURRETAR 8						#Anti Air Capable
TURRETCT 8 PILOT					#Controlled by PILOT or GUNNER
TURRETRG 8 800m						#Shooting Range  Machine gun convergence : 300 m

RADARCRS 0.5

GEARHORN FALSE				#LANDING-GEAR WARNING HORN
STALHORN FALSE				#STALL WARNING HORN

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 540km/h              #CRUISING SPEED
REFACRUS 7000ft              #CRUISING ALTITUDE
REFTCRUS 0.7                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 70kt                 #LANDING SPEED
REFAOALD 7.5deg                #LANDING AOA
REFLNRWY 600m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

WPNSHAPE FUEL STATIC User/fasta/sakadati/n1k/exttank.srf
WPNSHAPE FUEL FLYING User/fasta/sakadati/n1k/exttank.srf
AUTOCALC
