IDENTIFY "Mosquito_NF_MK.II"
CATEGORY WW2FIGHTER
SUBSTNAM "LANCASTER"
AFTBURNR FALSE                		#HAVE AFTERBURNER?
MAXSPEED 362kt              		#MAXIMUM SPEED

HASSPOIL FALSE                 		#HAS SPOILER?
RETRGEAR TRUE                 		#HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                	#HAS VARIABLE GEOMETRY WING?
TRSTVCTR TRUE                 		#HAS THRUST VECTORING CAPABILITY?

TRSTDIR0 0.0m 0.0m 1.0m       		#Thrust vector 0
TRSTDIR1 0.0m 0.0m 1.0m       		#Thrust vector 1
PSTMPTCH 1.5deg                 		#Post-Stall Maneuver VPitch
PSTMYAW_ 0deg                 		#Post-Stall Maneuver VYaw
PSTMROLL 0deg                 		#Post-Stall Maneuver VRoll

CLVARGEO 0.0                  		#EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  		#EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  		#EFFECT OF FLAP FOR Cl
CDBYFLAP 0.4                  		#EFFECT OF FLAP FOR Cd
CDBYGEAR 0.7                  		#EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  		#EFFECT OF SPOILER FOR Cd

WINGAREA 42.18m^2                	#WING AREA

MXIPTAOA 16.0deg              		#MAX INPUT AOA
MXIPTSSA 6.0deg               		#MAX INPUT SSA
MXIPTROL 55.0deg             		#MAX INPUT ROLL

MANESPD1 50kt                 		#MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                 		#FULLY MANEUVABLE SPEED
CPITMANE 6.6                  		#PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  		#PITCH STABILITY CONSTANT
CYAWMANE 4.2                  		#YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  		#YAW STABILITY CONSTANT
CROLLMAN 3.0                  		#ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 		#CONTROL LANDINGGEAR
CTLBRAKE FALSE                		#CONTROL BRAKE
CTLSPOIL 0.0                  		#CONTROL SPOILER
CTLABRNR FALSE                		#CONTROL AFTERBURNER
CTLTHROT 0.0                  		#CONTROL THRUST
CTLIFLAP 0.0                  		#CONTROL FLAP
CTLINVGW 0.0                  		#CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                		#CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           		#POSITION
ATTITUDE 45deg 0deg 0deg      	#ATTITUDE
INITFUEL 75%                 		#INITIAL FUEL
INITLOAD 0.0t                 		#INITIAL PAYLOAD
INITSPED 0.0MACH              		#INITIAL SPEED

INITIGUN 0                  		#INITIAL GUN
GUNSIGHT FALSE			#GUNSIGHT

HRDPOINT 0.0m -0.7m 1.0m B250*2 B500*1 $INTERNAL
HRDPOINT 0.0m -0.7m 1.0m B250*2 B500*1 $INTERNAL

WPNSHAPE B250 FLYING "User/tf58/weapons/gp250/bomb250.srf"
WPNSHAPE B500 FLYING "User/tf58/weapons/500lb MC bomb/bomb.srf"

LMTBYHDP TRUE                 		#Limit Max Num Weapon by Hardpoint
BOMINBAY FALSE			#Bomb In Bay

RADARCRS 1.0                 		#RADAR CROSS SECTION (BombDoor Close)
BMBAYRCS 1.0                 		#RADAR CROSS SECTION (BombDoor Open)

GEARHORN FALSE                		#LANDING-GEAR WARNING HORN
STALHORN FALSE                 	#STALL WARNING HORN

#1kt=1.852km/h

REFVCRUS 318kt              		#CRUISING SPEED
REFACRUS 21400ft              		#CRUISING ALTITUDE
REFTCRUS 1.0                  		#CRUISING THROTTLE SETTING

REFVLAND 80kt                 		#LANDING SPEED
REFAOALD 10deg                		#LANDING AOA
REFLNRWY 1200m                		#RUNWAY REQUIRED TO STOP
REFTHRLD 0.50                  		#LANDING THROTTLE SETTING

NMTURRET 19

#sight
TURRETPO 0 0m 0m 0m 0deg 0deg 0deg
TURRETPT 0 0deg 0deg 0deg
TURRETHD 0 0deg 0deg 0deg
TURRETAM 0 0
TURRETCT 0 PILOT

#7.7mm 500r/m 500rounds cross=400m
TURRETPO 1 0.250m -0.382m 4.435m 0.05deg 0.16deg 0deg
TURRETPT 1 0deg 0deg 0deg
TURRETHD 1 0deg 0deg 0deg
TURRETAM 1 250
TURRETIV 1 0.24sec
TURRETCT 1 PILOT
TURRETRG 1 400m
TURRETPO 2 -0.250m -0.382m 4.435m -0.03deg 0.16deg 0deg
TURRETPT 2 0deg 0deg 0deg
TURRETHD 2 0deg 0deg 0deg
TURRETAM 2 250
TURRETIV 2 0.24sec
TURRETCT 2 PILOT
TURRETRG 2 400m
TURRETPO 3 0.100m -0.382m 4.535m 0.02deg 0.16deg 0deg
TURRETPT 3 0deg 0deg 0deg
TURRETHD 3 0deg 0deg 0deg
TURRETAM 3 250
TURRETIV 3 0.24sec
TURRETCT 3 PILOT
TURRETRG 3 2000m
TURRETPO 4 -0.100m -0.382m 4.535m 0.00deg 0.16deg 0deg
TURRETPT 4 0deg 0deg 0deg
TURRETHD 4 0deg 0deg 0deg
TURRETAM 4 250
TURRETIV 4 0.24sec
TURRETCT 4 PILOT
TURRETRG 4 2000m

#20mm 700r/m 150rounds cross=400m
TURRETPO 5 0.098m -0.919m 3.127m 0.02deg 0.24deg 0deg
TURRETPT 5 0deg 0deg 0deg
TURRETHD 5 0deg 0deg 0deg
TURRETAM 5 150
TURRETIV 5 0.086sec
TURRETCT 5 PILOT
TURRETRG 5 400m
TURRETPO 6 0.098m -0.919m 3.127m 0.02deg 0.24deg 0deg
TURRETPT 6 0deg 0deg 0deg
TURRETHD 6 0deg 0deg 0deg
TURRETAM 6 150
TURRETIV 6 0.086sec
TURRETCT 6 PILOT
TURRETRG 6 1000m

TURRETPO 7 -0.098m -0.919m 3.127m 0deg 0.24deg 0deg
TURRETPT 7 0deg 0deg 0deg
TURRETHD 7 0deg 0deg 0deg
TURRETAM 7 150
TURRETIV 7 0.086sec
TURRETCT 7 PILOT
TURRETRG 7 400m
TURRETPO 8 -0.098m -0.919m 3.127m 0deg 0.24deg 0deg
TURRETPT 8 0deg 0deg 0deg
TURRETHD 8 0deg 0deg 0deg
TURRETAM 8 150
TURRETIV 8 0.086sec
TURRETCT 8 PILOT
TURRETRG 8 1000m

TURRETPO 9 0.298m -0.880m 3.118m 0.05deg 0.23deg 0deg
TURRETPT 9 0deg 0deg 0deg
TURRETHD 9 0deg 0deg 0deg
TURRETAM 9 150
TURRETIV 9 0.086sec
TURRETCT 9 PILOT
TURRETRG 9 400m
TURRETPO 10 0.298m -0.880m 3.118m 0.05deg 0.23deg 0deg
TURRETPT 10 0deg 0deg 0deg
TURRETHD 10 0deg 0deg 0deg
TURRETAM 10 150
TURRETIV 10 0.086sec
TURRETCT 10 PILOT
TURRETRG 10 1000m

TURRETPO 11 -0.298m -0.880m 3.118m -0.03deg 0.23deg 0deg
TURRETPT 11 0deg 0deg 0deg
TURRETHD 11 0deg 0deg 0deg
TURRETAM 11 150
TURRETIV 11 0.086sec
TURRETCT 11 PILOT
TURRETRG 11 400m
TURRETPO 12 -0.298m -0.880m 3.118m -0.03deg 0.23deg 0deg
TURRETPT 12 0deg 0deg 0deg
TURRETHD 12 0deg 0deg 0deg
TURRETAM 12 150
TURRETIV 12 0.086sec
TURRETCT 12 PILOT
TURRETRG 12 1000m

#RADAR 1 distance
TURRETPO 13 0m -10363m 0m 0deg 0deg 0deg
TURRETPT 13 55deg 89.171deg 0deg
TURRETHD 13 -35deg 35deg 0deg
TURRETAM 13 0
TURRETNP 13 9111
TURRETAR 13
TURRETCT 13 GUNNER
TURRETRG 13 15000m
#RADAR 1 up
TURRETPO 14 0m 0m 0m 0deg -37.5deg 90deg
TURRETPT 14 -35deg 35deg 0deg
TURRETHD 14 -72.5deg -2.5deg 0deg
TURRETAM 14 0
TURRETNH 14 9121
TURRETAR 14
TURRETCT 14 GUNNER
TURRETRG 14 5944m
#RADAR 1 down
TURRETPO 15 0m 0m 0m 0deg 37.5deg -90deg
TURRETPT 15 -35deg 35deg 0deg
TURRETHD 15 -72.5deg -2.5deg 0deg
TURRETAM 15 0
TURRETNH 15 9131
TURRETAR 15
TURRETCT 15 GUNNER
TURRETRG 15 5944m

#RADAR 2 distance
TURRETPO 16 0m -10363m 0m 0deg 0deg 0deg
TURRETPT 16 55deg 89.171deg 0deg
TURRETHD 16 -35deg 35deg 0deg
TURRETAM 16 0
TURRETNP 16 9211
TURRETAR 16
TURRETCT 16 GUNNER
TURRETRG 16 15000m
#RADAR 2 left
TURRETPO 17 0m 0m 0m -37.5deg 0deg 180deg
TURRETPT 17 -35deg 35deg 0deg
TURRETHD 17 -72.5deg -2.5deg 0deg
TURRETAM 17 0
TURRETNH 17 9221
TURRETAR 17
TURRETCT 17 GUNNER
TURRETRG 17 5944m
#RADAR 2 right
TURRETPO 18 0m 0m 0m 37.5deg 0deg 0deg
TURRETPT 18 -35deg 35deg 0deg
TURRETHD 18 -72.5deg -2.5deg 0deg
TURRETAM 18 0
TURRETNH 18 9231
TURRETAR 18
TURRETCT 18 GUNNER
TURRETRG 18 5944m

AUTOCALC
