LOADWEPN FUEL 2720              # INITIAL FUEL (150kg/each tank)        1700 [L] * 0.8 [kg/L] * 2 = 2720 [kg]
LOADWEPN IFLR 16                # INITIAL INTERNAL FLARES
LOADWEPN FLR 0                  # INITIAL EXTERNAL FLARES (150kg/each pod)

RADARCRS 0.9                    # RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 1263kt                 # CRUISING SPEED
REFACRUS 36000ft                # CRUISING ALTITUDE
REFTCRUS 1.47                   # CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 140kt                  # LANDING SPEED
REFAOALD 8deg                   # LANDING AOA
REFLNRWY 800m                   # RUNWAY REQUIRED TO STOP
REFTHRLD 0.35                   # LANDING THROTTLE SETTING

AUTOCALC
